label,location,date,value,group
Fendi,94,2001,1,Gucci (+2)
Fendi,75,2006,1,Gucci (+2)
Fendi,77,2016,1,Gucci (+2)
Fendi,91,2017,1,Gucci (+2)
Fendi,69,2017,1,Gucci (+2)
Fendi,75,2019,1,Gucci (+2)
Fendi,75,2018,2,Gucci (+2)
Fendi,95,2019,1,Gucci (+2)
Fendi,59,2015,1,Gucci (+2)
Fendi,94,2018,1,Gucci (+2)
Fendi,69,2016,1,Gucci (+2)
Fendi,69,2019,1,Gucci (+2)
Fendi,91,2015,1,Gucci (+2)
Fendi,91,2013,1,Gucci (+2)
Fendi,38,2018,1,Gucci (+2)
Fendi,93,2017,1,Gucci (+2)
Fendi,30,2020,1,Gucci (+2)
Fendi,30,2018,1,Gucci (+2)
Lacoste,94,1999,1,Lacoste (+2)
Lacoste,94,2010,1,Lacoste (+2)
Lacoste,94,1998,1,Lacoste (+2)
Lacoste,93,2020,2,Lacoste (+2)
Lacoste,93,2018,7,Lacoste (+2)
Lacoste,93,2017,1,Lacoste (+2)
Lacoste,13,2002,1,Lacoste (+2)
Lacoste,91,2008,1,Lacoste (+2)
Lacoste,91,2014,2,Lacoste (+2)
Lacoste,69,2019,2,Lacoste (+2)
Lacoste,75,2017,1,Lacoste (+2)
Lacoste,69,2017,3,Lacoste (+2)
Lacoste,92,2000,1,Lacoste (+2)
Lacoste,93,2016,3,Lacoste (+2)
Lacoste,75,2019,4,Lacoste (+2)
Lacoste,95,2011,1,Lacoste (+2)
Lacoste,93,2012,3,Lacoste (+2)
Lacoste,91,2015,3,Lacoste (+2)
Lacoste,35,2020,1,Lacoste (+2)
Lacoste,92,2006,1,Lacoste (+2)
Lacoste,92,2004,1,Lacoste (+2)
Lacoste,75,2018,2,Lacoste (+2)
Lacoste,14,2004,1,Lacoste (+2)
Lacoste,6,2008,1,Lacoste (+2)
Lacoste,35,2017,1,Lacoste (+2)
Lacoste,35,2018,1,Lacoste (+2)
Lacoste,75,1998,1,Lacoste (+2)
Lacoste,13,2017,3,Lacoste (+2)
Lacoste,93,2013,3,Lacoste (+2)
Lacoste,93,1998,1,Lacoste (+2)
Lacoste,67,2010,1,Lacoste (+2)
Lacoste,94,2002,1,Lacoste (+2)
Lacoste,94,2016,1,Lacoste (+2)
Lacoste,78,1998,1,Lacoste (+2)
Lacoste,75,2007,4,Lacoste (+2)
Lacoste,33,2013,1,Lacoste (+2)
Lacoste,33,2014,1,Lacoste (+2)
Lacoste,13,1998,1,Lacoste (+2)
Lacoste,38,2017,2,Lacoste (+2)
Lacoste,91,2001,1,Lacoste (+2)
Lacoste,75,2014,1,Lacoste (+2)
Lacoste,93,2019,2,Lacoste (+2)
Lacoste,91,2017,3,Lacoste (+2)
Lacoste,75,2013,4,Lacoste (+2)
Lacoste,75,2012,1,Lacoste (+2)
Lacoste,95,1998,1,Lacoste (+2)
Lacoste,83,2019,1,Lacoste (+2)
Lacoste,83,2018,1,Lacoste (+2)
Lacoste,6,2020,1,Lacoste (+2)
Lacoste,13,2019,3,Lacoste (+2)
Lacoste,13,2018,1,Lacoste (+2)
Lacoste,13,2011,3,Lacoste (+2)
Lacoste,94,2015,2,Lacoste (+2)
Lacoste,75,2020,4,Lacoste (+2)
Lacoste,75,1999,2,Lacoste (+2)
Lacoste,45,2018,1,Lacoste (+2)
Lacoste,13,2010,1,Lacoste (+2)
Lacoste,75,2011,2,Lacoste (+2)
Lacoste,95,2014,2,Lacoste (+2)
Lacoste,95,2015,1,Lacoste (+2)
Lacoste,93,2015,4,Lacoste (+2)
Lacoste,92,1996,1,Lacoste (+2)
Lacoste,69,2018,1,Lacoste (+2)
Lacoste,94,2001,1,Lacoste (+2)
Lacoste,91,2019,1,Lacoste (+2)
Lacoste,94,2007,1,Lacoste (+2)
Lacoste,57,2009,1,Lacoste (+2)
Lacoste,13,2020,3,Lacoste (+2)
Lacoste,92,2014,1,Lacoste (+2)
Lacoste,77,2015,1,Lacoste (+2)
Lacoste,91,2020,1,Lacoste (+2)
Lacoste,95,2018,2,Lacoste (+2)
Lacoste,75,2015,2,Lacoste (+2)
Lacoste,93,2014,1,Lacoste (+2)
Lacoste,94,2017,1,Lacoste (+2)
Lacoste,77,2018,1,Lacoste (+2)
Lacoste,13,1999,1,Lacoste (+2)
Lacoste,13,2005,1,Lacoste (+2)
Lacoste,13,2015,1,Lacoste (+2)
Lacoste,94,2020,1,Lacoste (+2)
Lacoste,94,2004,1,Lacoste (+2)
Lacoste,58,2017,2,Lacoste (+2)
Lacoste,95,2012,1,Lacoste (+2)
Lacoste,95,2013,1,Lacoste (+2)
Lacoste,75,2010,1,Lacoste (+2)
Lacoste,93,2001,1,Lacoste (+2)
Lacoste,13,2014,1,Lacoste (+2)
Lacoste,95,2003,2,Lacoste (+2)
Lacoste,92,2020,1,Lacoste (+2)
Lacoste,31,2018,1,Lacoste (+2)
Lacoste,91,2013,1,Lacoste (+2)
Lacoste,91,2006,1,Lacoste (+2)
Dior,94,2014,1,Lacoste (+2)
Dior,75,2019,8,Lacoste (+2)
Dior,75,2016,4,Lacoste (+2)
Dior,84,2020,1,Lacoste (+2)
Dior,91,2019,3,Lacoste (+2)
Dior,34,2014,1,Lacoste (+2)
Dior,75,2015,4,Lacoste (+2)
Dior,13,2020,1,Lacoste (+2)
Dior,92,2017,1,Lacoste (+2)
Dior,93,2017,1,Lacoste (+2)
Dior,75,2014,1,Lacoste (+2)
Dior,78,2015,2,Lacoste (+2)
Dior,44,2020,1,Lacoste (+2)
Dior,91,2003,1,Lacoste (+2)
Dior,77,2018,1,Lacoste (+2)
Dior,92,2020,1,Lacoste (+2)
Dior,69,2016,2,Lacoste (+2)
Dior,94,2020,1,Lacoste (+2)
Dior,94,2019,2,Lacoste (+2)
Dior,75,2006,2,Lacoste (+2)
Dior,75,2018,4,Lacoste (+2)
Dior,21,2013,1,Lacoste (+2)
Dior,75,2017,4,Lacoste (+2)
Dior,83,2019,1,Lacoste (+2)
Dior,75,2013,3,Lacoste (+2)
Dior,6,2020,1,Lacoste (+2)
Dior,6,2014,1,Lacoste (+2)
Dior,6,2015,1,Lacoste (+2)
Dior,93,2016,1,Lacoste (+2)
Dior,93,2019,3,Lacoste (+2)
Dior,93,2018,2,Lacoste (+2)
Dior,13,2013,1,Lacoste (+2)
Dior,92,2016,1,Lacoste (+2)
Dior,75,2020,4,Lacoste (+2)
Dior,78,2011,1,Lacoste (+2)
Dior,78,2017,1,Lacoste (+2)
Dior,75,2012,1,Lacoste (+2)
Dior,69,2010,1,Lacoste (+2)
Dior,93,2020,1,Lacoste (+2)
Dior,35,2018,1,Lacoste (+2)
Dior,78,2006,1,Lacoste (+2)
Dior,91,2016,1,Lacoste (+2)
Dior,91,2017,1,Lacoste (+2)
Dior,93,2015,1,Lacoste (+2)
Dior,31,2019,1,Lacoste (+2)
Dior,31,2018,1,Lacoste (+2)
Dior,94,2017,2,Lacoste (+2)
Dior,95,2005,1,Lacoste (+2)
Dior,95,2009,1,Lacoste (+2)
Dior,69,2017,1,Lacoste (+2)
Dior,94,2015,1,Lacoste (+2)
Dior,76,2020,1,Lacoste (+2)
Dior,59,2020,1,Lacoste (+2)
Dior,13,2018,1,Lacoste (+2)
Polo,93,2018,2,Lacoste (+2)
Polo,75,2012,4,Lacoste (+2)
Polo,31,2017,1,Lacoste (+2)
Polo,75,2015,5,Lacoste (+2)
Polo,13,2011,2,Lacoste (+2)
Polo,91,2015,2,Lacoste (+2)
Polo,75,2014,6,Lacoste (+2)
Polo,59,2011,1,Lacoste (+2)
Polo,69,2017,1,Lacoste (+2)
Polo,93,2016,2,Lacoste (+2)
Polo,31,2016,1,Lacoste (+2)
Polo,13,2018,3,Lacoste (+2)
Polo,25,2020,1,Lacoste (+2)
Polo,25,2019,3,Lacoste (+2)
Polo,25,2012,1,Lacoste (+2)
Polo,25,2011,1,Lacoste (+2)
Polo,25,2017,1,Lacoste (+2)
